"","ids","clsids","schids","ctyids","frame","subsample","fall","grade9","ba01","ba02","ba03","ba04","ba05","ba06","ba07","ba0801","ba0802","ba0803","ba0804","ba0805","ba0806","ba0807","ba0808","ba09","ba10","ba11","ba12","ba13","ba1401","ba1402","ba1403","ba1404","ba1405","ba15","ba16","ba1701","ba1702","ba1703","ba1704","ba1705","ba1706","ba18","ba19","ba20","ba21","bb01","bb02","bb0300","bb0301","bb0302","bb0303","bb0304","bb0305","bb0306","bb04","bb0500","bb0501","bb0502","bb0503","bb0504","bb0505","bb0506","bb06","bb07","bb08","bb09","bb10","bb1101","bb1102","bb1103","bb1201","bb1202","bb1203","bb1204","bb1205","bb1206","bb1207","bb13","bb14","bb15","bb16","bb17","bb18","bb19","bb20","bc0101","bc0102","bc0103","bc0104","bc0105","bc0106","bc0201","bc0202","bc0203","bc0204","bc0205","bc0206","bc0207","bc0208","bc0209","bc0301","bc0302","bc0303","bc0304","bc0305","bc0306","bc0307","bc0308","bc04","bc04a","bc04b","bc04c","bc05a","bc05b","bc05c","bc05d","bc05e","bc05f","bc05g","bc0601","bc0602","bc0603","bc0603a","bc0604","bc0605","bc07","bc08","bc09","bc10","bc11","bc12","bc1300","bc1301","bc1302","bc1303","bc1304","bc1305","bc1306","bc1307","bc1308","bc1309","bc14","bd01","bd02","bd03","bd04","bd05","bd06","bd07","bd08","bd09","bd10","bd11","bd12a","bd12b","bd13","bd14","bd14a","bd14b","bd1500","bd1501","bd1502","bd1503","bd1504","bd1505","bd1506","bd1507","bd1601","bd1601a","bd1602","bd1603","bd1604","bd1605","bd1606","bd1607","bd1701","bd1702","bd1703","bd1704","be01","be02","be03","be04","be05","be06","be07","be08","be09","be1001","be1002","be1003","be1101","be1102","be1201","be1202","be1203","be1204","be1205","be1206","be1207","be1301","be1302","be1303","be1304","be14","be15","be15a","be16","be17","be18","be19","be20","be21","be22","be23","be24","be25","be26","be27","be28","be29","be30","be3101","be3102","be3103","be3104","be3105","be3106","be3107","be3108","be3201","be3202","be3203","be3204","be3301","be3302","be3303","random_even_placement"
"11",1065,33,9,3,1,1,0,0,2,1,4000,1,3,20,1,2,3,3,3,3,3,3,3,2,3,0,NA,3,2,2,2,2,2,1,1,6,6,6,5,3,3,7,4,2,3,1,1,1,0,0,0,0,0,0,2,0,1,1,0,0,0,0,3,5,5,4,2,4,4,4,1,1,0,1,1,1,1,1,1,3,3,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,NA,NA,NA,167,0,167,0,0,99999,0,0,0,0,NA,1,0,60,4,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,2,9997,0,1,3,2,7.5,165,107,5,1,"100","350",1,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,3,3,4,4,1975,1,1,2,9997,3,5,10,4,2,2,3,1,1,1,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,3,2,6,2,3,1,1,1,1,4,0,0,0,0,0,0,0,1,1,1,1,1,3,3,3,1
"12",1066,33,9,3,1,1,0,0,1,1,NA,5,1,0,2,3,3,3,3,3,3,3,3,4,1,1,1,3,3,3,3,3,3,1,1,6,6,6,6,3,3,9,3,3,3,1,3,0,1,1,0,0,0,0,3,0,1,1,0,0,0,0,3,5,5,4,NA,4,4,4,1,1,0,0,0,1,0,1,1,NA,NA,3,3,NA,NA,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,3,3,NA,NA,NA,3,2,5.90000009536743,160,93,5,1,"100","100",1,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,NA,4,4,4,1977,1,2,3,NA,1,8,1,5,3,1,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,3,2,3,2,6,2,3,2,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,NA,NA,NA,1
"13",1067,33,9,3,1,1,0,0,2,1,2000,5,4,50,2,2,2,2,3,2,3,3,3,4,4,1,1,4,2,2,2,3,3,1,1,6,6,6,6,3,3,6,5,2,2,1,2,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,2,4,4,4,4,3,3,3,0,0,0,0,0,1,0,2,2,3,3,3,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,168,0,0,99999,0,0,0,0,NA,0,1,63,4,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,9997,0,1,3,2,7.19999980926514,154,85,5,2,"","",1,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,3,3,3,3,NA,1,1,2,9997,3,6,6,5,3,3,2,1,1,1,1,0,0,0,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,3,2,3,2,6,2,3,1,1,1,1,6,1,0,0,0,0,0,0,0,1,1,1,0,3,3,3,1
"14",1068,33,9,3,1,1,0,0,2,1,2000,3,2,50,2,2,2,3,3,3,3,3,3,4,2,1,1,3,2,2,3,2,2,1,1,6,6,5,5,2,2,8,4,2,3,1,3,0,1,1,1,1,1,0,3,0,1,1,1,1,1,0,3,5,5,4,1,4,4,4,1,1,1,1,0,1,1,1,1,3,3,3,3,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,NA,NA,NA,170,0,170,0,0,99999,0,NA,NA,NA,NA,NA,NA,62,4,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,2,9997,0,1,3,2,6.80000019073486,166,120,4,1,"225","225",1,0,0,0,0,0,0,0,0,NA,0,0,1,0,0,0,4,4,4,4,1977,3,1,2,9997,3,8,1,4,3,1,4,1,1,1,1,0,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,3,2,3,2,6,2,4,1,1,1,1,4,0,0,0,0,1,1,1,1,1,0,0,1,3,3,3,1
"15",1069,33,9,3,1,1,0,0,2,1,4600,1,2,50,1,2,2,2,2,2,2,2,2,4,4,1,1,1,2,2,2,2,2,2,2,6,1,6,1,1,1,8,1,2,3,1,2,0,1,1,0,0,0,0,2,0,1,1,0,1,1,0,3,5,5,4,1,4,4,4,1,1,1,1,0,1,1,2,2,3,3,3,3,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,168,NA,NA,NA,NA,0,0,0,NA,0,1,62,4,5,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,1,2,2005,2002,1,3,2,6,163,108,5,1,"75","",1,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,4,4,4,4,NA,1,1,2,2005,3,3,7,5,1,3,2,1,1,1,1,1,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,3,2,3,2,6,2,3,1,1,1,1,4,0,0,1,0,0,0,0,0,1,0,0,0,2,2,2,1
"16",1070,33,9,3,1,1,0,0,2,1,6500,3,2,20,1,2,1,2,2,1,1,3,3,2,4,0,NA,3,3,3,3,3,3,1,1,6,6,6,6,6,6,7,4,3,3,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,4,5,5,2,4,3,3,1,0,0,0,0,0,0,1,2,3,3,3,3,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,NA,NA,NA,0,0,168,0,0,0,0,0,0,0,NA,0,1,62,4,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,2,2,9997,2002,1,2,2,5.40000009536743,158,112,5,1,"200","175",1,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,3,3,2,2,1975,1,1,2,1998,3,7,9,3,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,3,2,2,2,6,2,2,1,1,1,1,4,0,0,0,0,0,0,0,1,NA,NA,NA,NA,3,2,3,1
"17",1071,33,9,3,1,1,0,0,1,1,1500,1,1,50,2,3,3,3,3,2,2,1,1,4,2,1,1,2,3,2,3,3,3,1,1,6,6,6,6,3,4,9,4,5,4,1,3,0,1,1,1,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,3,4,4,4,2,3,3,3,1,1,1,1,1,1,1,2,1,3,3,3,3,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,99999,0,0,0,0,NA,0,1,NA,3,4,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,2,9997,2005,1,3,2,0,160,72,3,2,"","",1,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,4,3,4,4,NA,1,1,NA,NA,3,7,9,4,4,4,4,3,5,1,1,0,0,0,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,3,2,3,1,6,2,3,1,1,1,1,2,0,1,0,0,0,0,0,1,1,1,1,1,3,2,2,1
"18",1072,33,9,3,1,1,0,0,2,1,3600,3,2,10,2,3,3,3,2,2,3,3,3,4,1,1,1,14,2,2,2,3,3,1,1,6,5,5,6,2,3,9,9,5,4,1,3,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,3,5,5,2,2,4,3,3,0,1,0,0,0,1,0,1,1,3,3,3,3,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,168,0,168,0,0,0,0,0,0,0,NA,0,1,62,4,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,2,9997,0,1,3,2,6.80000019073486,186,200,5,1,"175","215",0,0,0,0,0,0,0,1,0,NA,0,0,0,0,1,0,3,3,4,3,1973,1,1,2,9997,3,6,2,5,2,3,2,1,1,1,1,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,3,2,3,2,6,2,3,1,1,1,1,4,0,0,0,0,0,0,0,1,0,1,0,1,2,2,2,1
"19",1073,33,9,3,1,1,0,0,2,1,4000,2,2,0,1,2,2,2,3,2,2,3,3,2,1,1,1,NA,2,2,2,2,2,1,1,6,1,5,NA,2,1,7,1,2,4,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3,4,3,2,2,3,3,3,1,1,1,0,0,1,1,1,2,3,3,3,3,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,168,NA,NA,NA,NA,0,0,0,NA,0,1,62,4,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,2,9997,0,1,3,2,6.19999980926514,156,88,5,2,"","",1,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,3,3,2,3,1957,1,1,2,9997,1,4,7,3,1,2,4,3,1,1,1,1,0,0,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,3,2,3,2,6,2,4,1,1,1,1,4,1,0,1,0,1,0,0,0,1,0,1,0,3,2,2,1
"20",1074,33,9,3,1,1,0,0,2,1,5000,3,2,20,1,3,3,3,3,2,2,3,3,2,3,1,1,4,2,2,2,2,2,1,1,6,5,6,1,2,4,8,9,2,4,1,3,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,3,5,4,4,2,3,3,4,1,1,1,1,1,1,0,2,2,3,3,3,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,1,62,5,4,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,3,3,9997,0,1,3,2,6.19999980926514,172,110,4,1,"","",1,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,4,4,4,4,1971,1,1,3,1998,1,8,1,3,1,2,3,1,1,1,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,3,2,3,2,6,2,3,1,1,1,1,4,0,0,0,0,0,0,0,1,1,1,0,0,3,3,3,1
"21",1075,33,9,3,1,1,0,0,2,1,2000,3,2,20,2,2,2,3,2,3,2,3,3,4,1,1,0,2,3,2,2,3,3,1,2,6,3,5,4,NA,NA,8,3,4,4,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,4,5,4,2,4,4,3,1,1,0,1,0,1,0,2,2,1,1,3,3,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,NA,NA,NA,168,0,168,0,0,0,198,0,0,0,NA,0,1,62,4,4,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,2,9997,0,1,2,2,5.59999990463257,162,80,4,1,"175","175",1,0,0,0,0,0,0,0,0,NA,1,0,1,1,0,0,3,3,3,3,1974,2,1,2,1993,1,8,1,4,2,3,2,2,1,1,1,0,0,0,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,3,2,3,2,6,2,4,1,1,1,1,4,0,1,0,0,1,1,0,0,1,0,1,0,4,4,4,1
"22",1076,33,9,3,1,1,0,0,1,2,0,2,1,50,1,2,2,2,2,2,2,2,2,2,1,0,NA,1.5,3,3,3,3,3,1,1,6,6,NA,6,6,6,9,9,4,4,1,3,0,1,1,1,1,1,0,2,0,1,0,0,0,0,0,3,5,5,5,3,4,4,4,1,1,1,1,0,1,1,2,2,3,3,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,NA,NA,NA,168,0,168,0,0,0,0,0,0,0,NA,0,1,63,3,5,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,2,9997,0,3,3,2,5.19999980926514,162,NA,4,NA,"","",1,0,0,0,0,0,0,0,0,NA,1,0,0,0,0,0,4,4,4,4,NA,1,1,2,9997,3,8,2,5,3,1,4,NA,NA,1,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,3,1,3,2,6,2,3,1,1,1,1,4,0,0,0,0,0,0,1,0,1,1,0,0,4,3,4,1
